file,bbox
100142.jpg,"(171, 228, 273, 350)"
100143.jpg,"(209, 212, 298, 315)"
100143.jpg,"(282, 150, 335, 230)"
100144.jpg,"(166, 366, 217, 474)"
100145.jpg,"(245, 306, 306, 362)"
100146.jpg,"(177, 275, 300, 352)"
100148.jpg,"(192, 265, 263, 320)"
100149.jpg,"(111, 174, 135, 227)"
100149.jpg,"(134, 147, 170, 175)"
100149.jpg,"(213, 113, 267, 174)"
100149.jpg,"(241, 547, 310, 591)"
100149.jpg,"(252, 325, 304, 364)"
100150.jpg,"(243, 322, 281, 371)"
100151.jpg,"(113, 278, 234, 396)"
100152.jpg,"(277, 326, 306, 367)"
100153.jpg,"(172, 401, 244, 503)"
100154.jpg,"(168, 255, 264, 320)"
100155.jpg,"(180, 301, 338, 491)"
100156.jpg,"(87, 230, 149, 276)"
100157.jpg,"(181, 196, 236, 329)"
100157.jpg,"(207, 349, 268, 413)"
100159.jpg,"(192, 225, 278, 275)"
100160.jpg,"(205, 308, 254, 433)"
100160.jpg,"(215, 442, 229, 487)"
100161.jpg,"(44, 191, 284, 437)"
100161.jpg,"(70, 97, 100, 137)"
100162.jpg,"(136, 254, 267, 380)"
100163.jpg,"(65, 319, 162, 401)"
100164.jpg,"(208, 228, 272, 282)"
100165.jpg,"(154, 228, 307, 367)"
100166.jpg,"(174, 240, 263, 389)"
100167.jpg,"(200, 280, 304, 368)"
100168.jpg,"(199, 292, 265, 370)"
100169.jpg,"(205, 272, 266, 345)"
100170.jpg,"(73, 417, 113, 500)"
100170.jpg,"(275, 222, 328, 314)"
100170.jpg,"(310, 321, 345, 355)"
100171.jpg,"(164, 270, 262, 320)"
100172.jpg,"(192, 265, 248, 326)"
100173.jpg,"(141, 281, 261, 404)"
100174.jpg,"(204, 274, 273, 323)"
100175.jpg,"(230, 221, 298, 321)"
100176.jpg,"(180, 290, 195, 308)"
100176.jpg,"(193, 366, 241, 502)"
100177.jpg,"(190, 294, 243, 366)"
100178.jpg,"(130, 207, 278, 454)"
100178.jpg,"(180, 515, 193, 531)"
100178.jpg,"(204, 78, 287, 205)"
100178.jpg,"(288, 159, 292, 206)"
100179.jpg,"(194, 276, 298, 363)"
100180.jpg,"(157, 317, 239, 371)"
100181.jpg,"(186, 367, 240, 413)"
100182.jpg,"(154, 307, 232, 400)"
100183.jpg,"(195, 319, 250, 362)"
100184.jpg,"(144, 374, 165, 399)"
100184.jpg,"(145, 196, 191, 233)"
100184.jpg,"(206, 244, 275, 318)"
100185.jpg,"(165, 228, 210, 277)"
100186.jpg,"(161, 233, 229, 285)"
100186.jpg,"(207, 372, 234, 397)"
100186.jpg,"(236, 295, 273, 368)"
100187.jpg,"(46, 167, 123, 283)"
100187.jpg,"(136, 277, 191, 354)"
100187.jpg,"(213, 375, 231, 396)"
100188.jpg,"(37, 103, 174, 263)"
100189.jpg,"(220, 329, 229, 346)"
100190.jpg,"(206, 318, 239, 361)"
100191.jpg,"(160, 261, 266, 332)"
100192.jpg,"(156, 272, 291, 398)"
100193.jpg,"(164, 328, 200, 365)"
100193.jpg,"(208, 240, 253, 283)"
100194.jpg,"(228, 224, 300, 336)"
100195.jpg,"(183, 195, 333, 427)"
100196.jpg,"(46, 519, 56, 532)"
100196.jpg,"(126, 169, 303, 448)"
100196.jpg,"(315, 195, 334, 222)"
100197.jpg,"(143, 323, 274, 431)"
100198.jpg,"(79, 290, 90, 305)"
100198.jpg,"(207, 309, 352, 368)"
100199.jpg,"(130, 403, 235, 475)"
100199.jpg,"(235, 187, 271, 234)"
100200.jpg,"(173, 263, 269, 365)"
100200.jpg,"(414, 507, 456, 555)"
100201.jpg,"(113, 299, 344, 486)"
100203.jpg,"(134, 314, 234, 396)"
100204.jpg,"(215, 291, 231, 303)"
100204.jpg,"(268, 217, 318, 331)"
100205.jpg,"(199, 131, 310, 231)"
100206.jpg,"(167, 250, 242, 326)"
100206.jpg,"(247, 329, 266, 349)"
100207.jpg,"(175, 297, 246, 374)"
100208.jpg,"(74, 232, 120, 266)"
100208.jpg,"(175, 267, 246, 317)"
100209.jpg,"(113, 106, 127, 122)"
100209.jpg,"(167, 165, 244, 258)"
100210.jpg,"(104, 253, 212, 318)"
100210.jpg,"(246, 289, 265, 305)"
100211.jpg,"(237, 262, 277, 359)"
100212.jpg,"(218, 456, 281, 548)"
100212.jpg,"(229, 323, 313, 430)"
100213.jpg,"(206, 318, 246, 408)"
100213.jpg,"(239, 414, 264, 485)"
100213.jpg,"(245, 558, 271, 598)"
100214.jpg,"(185, 292, 196, 304)"
100214.jpg,"(414, 544, 448, 597)"
100215.jpg,"(182, 267, 263, 357)"
100216.jpg,"(197, 233, 257, 278)"
100217.jpg,"(260, 234, 384, 406)"
100217.jpg,"(353, 103, 384, 150)"
100217.jpg,"(404, 104, 455, 135)"
100218.jpg,"(197, 215, 275, 333)"
100218.jpg,"(316, 52, 334, 79)"
100219.jpg,"(133, 279, 169, 333)"
100220.jpg,"(104, 206, 198, 305)"
100221.jpg,"(95, 281, 158, 355)"
100222.jpg,"(152, 269, 267, 437)"
100223.jpg,"(171, 307, 209, 368)"
100224.jpg,"(109, 246, 232, 321)"
100225.jpg,"(152, 277, 307, 411)"
100226.jpg,"(41, 165, 207, 289)"
100226.jpg,"(48, 68, 57, 120)"
100226.jpg,"(155, 92, 241, 161)"
100227.jpg,"(170, 269, 241, 413)"
100227.jpg,"(220, 549, 260, 578)"
100228.jpg,"(174, 109, 193, 121)"
100228.jpg,"(215, 300, 283, 375)"
100228.jpg,"(285, 199, 297, 214)"
100228.jpg,"(309, 233, 343, 308)"
100229.jpg,"(134, 229, 274, 347)"
100230.jpg,"(55, 144, 98, 190)"
100230.jpg,"(135, 249, 157, 266)"
100230.jpg,"(175, 210, 289, 329)"
100230.jpg,"(196, 369, 241, 404)"
100230.jpg,"(265, 407, 303, 448)"
100230.jpg,"(306, 237, 337, 283)"
100230.jpg,"(315, 567, 331, 582)"
100230.jpg,"(352, 422, 384, 446)"
100231.jpg,"(151, 327, 220, 412)"
100231.jpg,"(252, 237, 303, 271)"
100232.jpg,"(173, 284, 272, 365)"
100233.jpg,"(172, 277, 296, 334)"
100234.jpg,"(314, 465, 337, 494)"
100235.jpg,"(214, 196, 352, 348)"
100236.jpg,"(129, 228, 206, 303)"
100237.jpg,"(108, 221, 278, 406)"
100238.jpg,"(130, 320, 204, 382)"
100239.jpg,"(249, 269, 310, 330)"
100240.jpg,"(191, 245, 263, 338)"
100241.jpg,"(159, 393, 269, 497)"
100241.jpg,"(202, 333, 242, 369)"
100242.jpg,"(196, 213, 277, 391)"
100243.jpg,"(217, 212, 307, 372)"
100244.jpg,"(323, 241, 451, 354)"
100245.jpg,"(195, 272, 304, 441)"
100246.jpg,"(63, 103, 95, 140)"
100246.jpg,"(195, 281, 255, 392)"
100247.jpg,"(73, 151, 292, 361)"
100248.jpg,"(196, 292, 227, 306)"
100249.jpg,"(41, 242, 189, 356)"
100249.jpg,"(110, 192, 140, 236)"
100249.jpg,"(347, 246, 367, 310)"
100250.jpg,"(149, 267, 328, 444)"
100250.jpg,"(215, 175, 279, 241)"
100251.jpg,"(150, 229, 212, 306)"
100252.jpg,"(57, 217, 167, 319)"
100252.jpg,"(197, 280, 272, 367)"
100253.jpg,"(214, 288, 228, 304)"
100254.jpg,"(82, 364, 164, 454)"
100255.jpg,"(68, 242, 213, 367)"
100256.jpg,"(102, 287, 132, 305)"
100256.jpg,"(238, 320, 286, 360)"
100257.jpg,"(208, 258, 263, 336)"
100258.jpg,"(197, 299, 276, 367)"
100259.jpg,"(177, 326, 199, 352)"
100259.jpg,"(236, 279, 282, 363)"
100260.jpg,"(72, 247, 240, 453)"
100261.jpg,"(306, 301, 336, 356)"
100261.jpg,"(321, 191, 365, 213)"
100262.jpg,"(319, 176, 375, 231)"
100263.jpg,"(31, 56, 62, 76)"
100263.jpg,"(187, 194, 272, 398)"
100264.jpg,"(147, 229, 204, 321)"
100265.jpg,"(91, 281, 169, 319)"
100267.jpg,"(210, 306, 273, 367)"
100268.jpg,"(235, 407, 307, 476)"
100269.jpg,"(243, 275, 277, 322)"
100270.jpg,"(215, 227, 289, 363)"
100271.jpg,"(205, 225, 272, 337)"
100272.jpg,"(151, 274, 208, 323)"
100273.jpg,"(205, 317, 300, 407)"
100274.jpg,"(264, 493, 310, 551)"
100275.jpg,"(98, 227, 138, 272)"
100275.jpg,"(212, 244, 231, 263)"
100275.jpg,"(246, 278, 317, 336)"
100276.jpg,"(218, 277, 274, 345)"
100277.jpg,"(141, 344, 206, 425)"
100278.jpg,"(271, 304, 317, 361)"
100279.jpg,"(177, 380, 196, 406)"
100279.jpg,"(245, 217, 312, 307)"
100279.jpg,"(252, 428, 271, 468)"
100280.jpg,"(81, 250, 92, 278)"
100280.jpg,"(99, 220, 206, 362)"
100281.jpg,"(26, 200, 105, 413)"
100281.jpg,"(112, 425, 124, 438)"
100281.jpg,"(136, 233, 206, 262)"
100281.jpg,"(417, 548, 440, 601)"
100282.jpg,"(96, 268, 169, 330)"
100282.jpg,"(280, 294, 294, 304)"
100283.jpg,"(73, 120, 189, 324)"
100284.jpg,"(197, 278, 283, 371)"
100285.jpg,"(217, 197, 316, 280)"
100285.jpg,"(218, 308, 275, 363)"
100286.jpg,"(220, 153, 284, 227)"
100287.jpg,"(193, 272, 249, 342)"
100288.jpg,"(239, 246, 307, 324)"
100289.jpg,"(378, 307, 411, 363)"
100290.jpg,"(72, 381, 92, 401)"
100290.jpg,"(78, 559, 94, 578)"
100290.jpg,"(136, 135, 175, 184)"
100291.jpg,"(169, 373, 195, 394)"
100291.jpg,"(175, 220, 273, 330)"
100292.jpg,"(206, 222, 249, 278)"
100292.jpg,"(255, 368, 298, 395)"
100292.jpg,"(305, 333, 331, 356)"
100293.jpg,"(141, 265, 210, 316)"
100294.jpg,"(118, 334, 206, 449)"
100296.jpg,"(138, 186, 261, 283)"
100297.jpg,"(199, 232, 300, 328)"
100298.jpg,"(208, 332, 272, 407)"
100299.jpg,"(141, 307, 279, 483)"
100299.jpg,"(282, 420, 299, 443)"
100299.jpg,"(308, 353, 336, 406)"
100300.jpg,"(32, 26, 70, 86)"
100300.jpg,"(121, 242, 297, 412)"
100301.jpg,"(102, 360, 158, 437)"
100301.jpg,"(145, 287, 164, 317)"
100302.jpg,"(157, 251, 246, 335)"
100303.jpg,"(67, 215, 200, 368)"
100304.jpg,"(202, 227, 325, 343)"
100305.jpg,"(106, 278, 167, 356)"
100306.jpg,"(161, 280, 248, 365)"
100307.jpg,"(205, 280, 303, 449)"
100308.jpg,"(139, 260, 187, 316)"
100309.jpg,"(115, 246, 224, 390)"
100310.jpg,"(127, 365, 197, 414)"
100311.jpg,"(76, 291, 90, 305)"
100311.jpg,"(173, 224, 221, 281)"
100311.jpg,"(183, 317, 237, 361)"
100314.jpg,"(205, 282, 248, 383)"
100315.jpg,"(159, 203, 244, 287)"
100316.jpg,"(180, 215, 315, 405)"
100317.jpg,"(233, 284, 300, 374)"
100318.jpg,"(145, 232, 257, 312)"
100318.jpg,"(247, 287, 343, 398)"
100319.jpg,"(100, 108, 305, 397)"
100319.jpg,"(243, 437, 266, 496)"
100319.jpg,"(247, 383, 264, 429)"
100320.jpg,"(206, 291, 260, 374)"
100321.jpg,"(72, 284, 95, 313)"
100321.jpg,"(111, 504, 156, 538)"
100322.jpg,"(190, 409, 240, 470)"
100322.jpg,"(324, 497, 370, 543)"
100323.jpg,"(216, 326, 283, 372)"
100323.jpg,"(277, 34, 301, 83)"
100324.jpg,"(171, 373, 240, 460)"
100324.jpg,"(215, 288, 235, 320)"
100324.jpg,"(248, 380, 260, 395)"
100325.jpg,"(161, 348, 227, 417)"
100326.jpg,"(160, 283, 262, 443)"
100327.jpg,"(199, 225, 253, 328)"
100328.jpg,"(133, 313, 278, 404)"
100328.jpg,"(300, 334, 403, 475)"
100329.jpg,"(141, 276, 174, 314)"
100330.jpg,"(200, 228, 274, 298)"
100331.jpg,"(203, 255, 292, 331)"
100332.jpg,"(246, 193, 297, 265)"
100333.jpg,"(122, 223, 246, 329)"
100334.jpg,"(133, 410, 226, 500)"
100334.jpg,"(141, 177, 264, 266)"
100334.jpg,"(282, 445, 297, 491)"
100335.jpg,"(195, 218, 303, 330)"
100336.jpg,"(202, 243, 229, 262)"
100337.jpg,"(237, 252, 312, 343)"
100338.jpg,"(284, 199, 411, 314)"
100339.jpg,"(218, 375, 264, 401)"
100339.jpg,"(338, 147, 385, 253)"
100340.jpg,"(234, 237, 285, 316)"
100340.jpg,"(238, 141, 271, 181)"
100341.jpg,"(216, 236, 406, 367)"
100342.jpg,"(147, 195, 277, 313)"
100343.jpg,"(179, 338, 296, 424)"
100343.jpg,"(203, 124, 281, 276)"
100344.jpg,"(206, 234, 311, 370)"
100345.jpg,"(139, 262, 210, 356)"
100346.jpg,"(201, 263, 257, 317)"
100347.jpg,"(218, 295, 335, 453)"
100348.jpg,"(150, 320, 236, 396)"
100349.jpg,"(105, 278, 139, 319)"
100350.jpg,"(209, 291, 299, 429)"
100353.jpg,"(212, 264, 325, 378)"
100354.jpg,"(174, 227, 327, 382)"
100355.jpg,"(177, 290, 269, 409)"
100355.jpg,"(183, 199, 196, 219)"
100356.jpg,"(169, 297, 243, 399)"
100356.jpg,"(255, 202, 267, 232)"
100356.jpg,"(277, 253, 304, 310)"
100357.jpg,"(182, 231, 254, 315)"
100358.jpg,"(146, 154, 160, 169)"
100358.jpg,"(151, 236, 210, 321)"
100359.jpg,"(207, 320, 261, 369)"
100360.jpg,"(248, 265, 315, 324)"
100361.jpg,"(146, 512, 170, 542)"
100362.jpg,"(149, 138, 240, 231)"
100362.jpg,"(181, 459, 245, 536)"
100363.jpg,"(146, 564, 160, 579)"
100364.jpg,"(65, 277, 103, 311)"
100364.jpg,"(138, 82, 179, 136)"
100364.jpg,"(256, 279, 304, 317)"
100365.jpg,"(207, 276, 273, 369)"
100367.jpg,"(176, 322, 251, 367)"
100368.jpg,"(217, 273, 279, 324)"
100368.jpg,"(406, 548, 454, 592)"
100369.jpg,"(163, 210, 327, 348)"
100370.jpg,"(145, 148, 270, 348)"
100371.jpg,"(128, 351, 174, 422)"
100372.jpg,"(149, 200, 230, 292)"
100372.jpg,"(279, 461, 305, 505)"
100373.jpg,"(226, 183, 275, 233)"
100374.jpg,"(109, 181, 170, 246)"
100374.jpg,"(148, 360, 269, 408)"
100375.jpg,"(71, 173, 310, 399)"
100375.jpg,"(186, 356, 270, 457)"
100376.jpg,"(177, 287, 303, 419)"
100377.jpg,"(149, 339, 223, 407)"
100378.jpg,"(99, 307, 138, 362)"
100379.jpg,"(198, 313, 287, 376)"
100380.jpg,"(172, 275, 250, 372)"
100382.jpg,"(116, 228, 292, 400)"
100383.jpg,"(113, 51, 139, 80)"
100384.jpg,"(180, 289, 242, 360)"
100385.jpg,"(213, 242, 228, 262)"
100386.jpg,"(173, 259, 232, 351)"
100386.jpg,"(248, 371, 265, 394)"
100386.jpg,"(272, 239, 302, 357)"
100387.jpg,"(180, 257, 274, 357)"
100388.jpg,"(143, 184, 308, 346)"
100389.jpg,"(178, 196, 310, 369)"
100389.jpg,"(311, 371, 337, 404)"
100390.jpg,"(166, 275, 219, 353)"
100391.jpg,"(154, 131, 275, 280)"
100391.jpg,"(204, 360, 259, 402)"
100392.jpg,"(175, 233, 277, 409)"
100393.jpg,"(183, 239, 282, 321)"
100394.jpg,"(123, 268, 200, 333)"
100395.jpg,"(207, 276, 262, 315)"
100396.jpg,"(171, 295, 207, 359)"
100397.jpg,"(108, 262, 144, 309)"
100397.jpg,"(156, 274, 277, 416)"
100398.jpg,"(180, 208, 300, 401)"
100398.jpg,"(351, 101, 377, 127)"
100398.jpg,"(405, 51, 438, 89)"
100398.jpg,"(417, 552, 443, 587)"
100398.jpg,"(418, 149, 442, 212)"
100399.jpg,"(171, 218, 270, 284)"
100399.jpg,"(235, 139, 302, 214)"
100399.jpg,"(344, 297, 399, 363)"
100399.jpg,"(412, 503, 445, 579)"
100400.jpg,"(125, 268, 269, 368)"
100401.jpg,"(148, 184, 281, 492)"
100402.jpg,"(194, 88, 265, 331)"
100402.jpg,"(202, 350, 261, 435)"
100403.jpg,"(208, 244, 367, 424)"
100404.jpg,"(224, 392, 294, 478)"
100405.jpg,"(323, 265, 405, 334)"
100406.jpg,"(196, 277, 278, 366)"
100407.jpg,"(212, 324, 280, 393)"
100408.jpg,"(202, 263, 248, 365)"
100409.jpg,"(227, 353, 275, 414)"
100410.jpg,"(216, 321, 283, 364)"
100411.jpg,"(173, 276, 236, 321)"
100412.jpg,"(176, 269, 276, 391)"
100412.jpg,"(212, 142, 234, 171)"
100413.jpg,"(142, 305, 258, 383)"
100414.jpg,"(179, 277, 246, 361)"
100415.jpg,"(99, 304, 175, 362)"
100416.jpg,"(140, 288, 269, 392)"
100417.jpg,"(240, 272, 297, 349)"
100418.jpg,"(226, 221, 290, 288)"
100419.jpg,"(188, 288, 269, 379)"
100419.jpg,"(349, 372, 372, 402)"
100420.jpg,"(235, 250, 300, 346)"
100421.jpg,"(241, 321, 313, 411)"
100422.jpg,"(213, 269, 279, 354)"
100423.jpg,"(163, 361, 243, 427)"
100424.jpg,"(235, 291, 336, 554)"
100425.jpg,"(168, 312, 226, 366)"
100426.jpg,"(170, 143, 273, 384)"
100427.jpg,"(243, 254, 307, 324)"
100428.jpg,"(108, 230, 227, 360)"
100429.jpg,"(178, 231, 292, 394)"
100430.jpg,"(210, 317, 303, 432)"
100431.jpg,"(149, 362, 219, 410)"
100432.jpg,"(144, 275, 274, 416)"
100433.jpg,"(201, 268, 303, 341)"
100434.jpg,"(183, 230, 262, 371)"
100435.jpg,"(276, 225, 321, 277)"
100435.jpg,"(327, 238, 437, 353)"
100436.jpg,"(194, 281, 247, 354)"
100437.jpg,"(93, 268, 171, 362)"
100437.jpg,"(226, 500, 304, 576)"
100438.jpg,"(206, 278, 243, 313)"
100439.jpg,"(163, 227, 207, 276)"
100440.jpg,"(157, 276, 212, 397)"
100441.jpg,"(186, 278, 261, 410)"
100443.jpg,"(117, 241, 202, 323)"
100444.jpg,"(69, 276, 142, 320)"
100445.jpg,"(182, 311, 270, 424)"
100445.jpg,"(235, 137, 295, 214)"
100446.jpg,"(156, 258, 274, 393)"
100447.jpg,"(157, 229, 271, 379)"
100448.jpg,"(173, 334, 257, 411)"
100448.jpg,"(183, 239, 213, 273)"
100448.jpg,"(218, 282, 226, 306)"
100448.jpg,"(248, 438, 307, 498)"
100449.jpg,"(56, 236, 206, 373)"
100450.jpg,"(169, 269, 264, 352)"
100451.jpg,"(301, 384, 410, 461)"
100452.jpg,"(104, 325, 134, 362)"
100453.jpg,"(181, 277, 299, 405)"
100454.jpg,"(196, 294, 250, 369)"
100454.jpg,"(275, 326, 308, 393)"
100455.jpg,"(138, 203, 233, 349)"
100456.jpg,"(69, 176, 109, 228)"
100457.jpg,"(38, 232, 133, 323)"
100457.jpg,"(174, 315, 251, 382)"
100458.jpg,"(239, 269, 278, 335)"
100459.jpg,"(159, 174, 228, 240)"
100459.jpg,"(240, 278, 305, 413)"
100460.jpg,"(192, 278, 241, 340)"
100461.jpg,"(145, 146, 177, 172)"
100461.jpg,"(184, 321, 271, 369)"
100462.jpg,"(172, 319, 298, 419)"
100462.jpg,"(355, 290, 365, 303)"
100463.jpg,"(175, 274, 245, 322)"
100464.jpg,"(169, 269, 233, 321)"
100465.jpg,"(197, 248, 242, 372)"
100466.jpg,"(162, 322, 212, 364)"
100467.jpg,"(184, 338, 194, 393)"
100468.jpg,"(127, 322, 198, 366)"
100469.jpg,"(152, 275, 212, 346)"
